"","X","ID","Timepoint","Age_days","Age_weeks","Intervention","Diet","Treatment","Genotype","TreatmentGroup","Cage","Sex","resampled_log_full_det","resampled_log_nlin_det","dependentvariable"
"1",1,"10_001",1,59,8.42857142857143,"Control","Control","Control","WT","Ctrl_LFD_WT",106,"M","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_001_processed/mch_rca_1110_001_20180705_131017_131073_mri_lsq6/mch_rca_1110_001_20180705_131017_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_001_processed/mch_rca_1110_001_20180705_131017_131073_mri_lsq6/mch_rca_1110_001_20180705_131017_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",0.937924095333525
"2",2,"10_001",2,121,17.2857142857143,"Control","Control","Control","WT","Ctrl_LFD_WT",106,"M","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_001_processed/mch_rca_1210_001_20180905_114432_131073_mri_lsq6/mch_rca_1210_001_20180905_114432_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_001_processed/mch_rca_1210_001_20180905_114432_131073_mri_lsq6/mch_rca_1210_001_20180905_114432_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",0.898570764262869
"3",3,"10_001",3,183,26.1428571428571,"Control","Control","Control","WT","Ctrl_LFD_WT",106,"M","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_001_processed/mch_rca_1310_001_20181106_121119_131073_mri_lsq6/mch_rca_1310_001_20181106_121119_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_001_processed/mch_rca_1310_001_20181106_121119_131073_mri_lsq6/mch_rca_1310_001_20181106_121119_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",1.12762203668126
"4",4,"10_002",1,59,8.42857142857143,"Control","Control","Control","WT","Ctrl_LFD_WT",106,"M","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_002_processed/mch_rca_1110_002_20180705_133010_131073_mri_lsq6/mch_rca_1110_002_20180705_133010_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_002_processed/mch_rca_1110_002_20180705_133010_131073_mri_lsq6/mch_rca_1110_002_20180705_133010_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",0.940731407475802
"5",5,"10_002",2,121,17.2857142857143,"Control","Control","Control","WT","Ctrl_LFD_WT",106,"M","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_002_processed/mch_rca_1210_002_20180905_120050_131073_mri_lsq6/mch_rca_1210_002_20180905_120050_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_002_processed/mch_rca_1210_002_20180905_120050_131073_mri_lsq6/mch_rca_1210_002_20180905_120050_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",1.09951215642645
"6",6,"10_002",3,183,26.1428571428571,"Control","Control","Control","WT","Ctrl_LFD_WT",106,"M","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_002_processed/mch_rca_1310_002_20181106_124119_131073_mri_lsq6/mch_rca_1310_002_20181106_124119_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_002_processed/mch_rca_1310_002_20181106_124119_131073_mri_lsq6/mch_rca_1310_002_20181106_124119_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",1.02123204088232
"7",7,"10_004",1,59,8.42857142857143,"Control","Control","Control","WT","Ctrl_LFD_WT",107,"F","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_004_processed/mch_rca_2110_004_20180705_140345_131073_mri_lsq6/mch_rca_2110_004_20180705_140345_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_004_processed/mch_rca_2110_004_20180705_140345_131073_mri_lsq6/mch_rca_2110_004_20180705_140345_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",0.809830167665849
"8",8,"10_004",2,121,17.2857142857143,"Control","Control","Control","WT","Ctrl_LFD_WT",107,"F","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_004_processed/mch_rca_2210_004_20180905_122322_131073_mri_lsq6/mch_rca_2210_004_20180905_122322_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_004_processed/mch_rca_2210_004_20180905_122322_131073_mri_lsq6/mch_rca_2210_004_20180905_122322_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",0.960358025468631
"9",9,"10_004",3,183,26.1428571428571,"Control","Control","Control","WT","Ctrl_LFD_WT",107,"F","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_004_processed/mch_rca_2310_004_20181106_130314_131073_mri_lsq6/mch_rca_2310_004_20181106_130314_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_004_processed/mch_rca_2310_004_20181106_130314_131073_mri_lsq6/mch_rca_2310_004_20181106_130314_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",1.30312249113368
"10",10,"10_005",1,59,8.42857142857143,"Control","Control","Control","WT","Ctrl_LFD_WT",107,"F","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_005_processed/mch_rca_2110_005_20180705_142909_131073_mri_lsq6/mch_rca_2110_005_20180705_142909_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_005_processed/mch_rca_2110_005_20180705_142909_131073_mri_lsq6/mch_rca_2110_005_20180705_142909_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",0.835453207646774
"11",11,"10_005",2,121,17.2857142857143,"Control","Control","Control","WT","Ctrl_LFD_WT",107,"F","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_005_processed/mch_rca_2210_005_20180905_124856_131073_mri_lsq6/mch_rca_2210_005_20180905_124856_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_005_processed/mch_rca_2210_005_20180905_124856_131073_mri_lsq6/mch_rca_2210_005_20180905_124856_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",1.09560369717956
"12",12,"10_005",3,183,26.1428571428571,"Control","Control","Control","WT","Ctrl_LFD_WT",107,"F","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_005_processed/mch_rca_2310_005_20181106_132324_131073_mri_lsq6/mch_rca_2310_005_20181106_132324_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_005_processed/mch_rca_2310_005_20181106_132324_131073_mri_lsq6/mch_rca_2310_005_20181106_132324_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",1.0912113432311
"13",13,"10_006",1,59,8.42857142857143,"Control","Control","Control","WT","Ctrl_LFD_WT",107,"F","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_006_processed/mch_rca_2110_006_20180705_144719_131073_mri_lsq6/mch_rca_2110_006_20180705_144719_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_006_processed/mch_rca_2110_006_20180705_144719_131073_mri_lsq6/mch_rca_2110_006_20180705_144719_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",1.02129598692959
"14",14,"10_006",2,121,17.2857142857143,"Control","Control","Control","WT","Ctrl_LFD_WT",107,"F","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_006_processed/mch_rca_2210_006_20180905_130435_131073_mri_lsq6/mch_rca_2210_006_20180905_130435_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_006_processed/mch_rca_2210_006_20180905_130435_131073_mri_lsq6/mch_rca_2210_006_20180905_130435_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",1.02965807212012
"15",15,"10_006",3,183,26.1428571428571,"Control","Control","Control","WT","Ctrl_LFD_WT",107,"F","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_006_processed/mch_rca_2310_006_20181106_133730_131073_mri_lsq6/mch_rca_2310_006_20181106_133730_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_006_processed/mch_rca_2310_006_20181106_133730_131073_mri_lsq6/mch_rca_2310_006_20181106_133730_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",1.00297552876553
"16",16,"10_007",1,53,7.57142857142857,"Control","Control","Control","WT","Ctrl_LFD_WT",111,"F","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_007_processed/mch_rca_2110_007_20180629_112308_131073_mri_lsq6/mch_rca_2110_007_20180629_112308_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_007_processed/mch_rca_2110_007_20180629_112308_131073_mri_lsq6/mch_rca_2110_007_20180629_112308_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",0.815342646803678
"17",17,"10_007",2,113,16.1428571428571,"Control","Control","Control","WT","Ctrl_LFD_WT",111,"F","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_007_processed/mch_rca_2210_007_20180828_183411_131073_mri_lsq6/mch_rca_2210_007_20180828_183411_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_007_processed/mch_rca_2210_007_20180828_183411_131073_mri_lsq6/mch_rca_2210_007_20180828_183411_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",1.07027078266018
"18",18,"10_007",3,183,26.1428571428571,"Control","Control","Control","WT","Ctrl_LFD_WT",111,"F","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_007_processed/mch_rca_2310_007_20181106_151827_131073_mri_lsq6/mch_rca_2310_007_20181106_151827_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_007_processed/mch_rca_2310_007_20181106_151827_131073_mri_lsq6/mch_rca_2310_007_20181106_151827_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",1.07138553192805
"19",19,"10_008",1,53,7.57142857142857,"Control","Control","Control","WT","Ctrl_LFD_WT",111,"F","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_008_processed/mch_rca_2110_008_20180629_113931_131073_mri_lsq6/mch_rca_2110_008_20180629_113931_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_008_processed/mch_rca_2110_008_20180629_113931_131073_mri_lsq6/mch_rca_2110_008_20180629_113931_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",0.775715320828653
"20",20,"10_008",2,113,16.1428571428571,"Control","Control","Control","WT","Ctrl_LFD_WT",111,"F","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_008_processed/mch_rca_2210_008_20180828_185509_131073_mri_lsq6/mch_rca_2210_008_20180828_185509_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_008_processed/mch_rca_2210_008_20180828_185509_131073_mri_lsq6/mch_rca_2210_008_20180828_185509_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",0.991504848042441
"21",21,"10_008",3,183,26.1428571428571,"Control","Control","Control","WT","Ctrl_LFD_WT",111,"F","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_008_processed/mch_rca_2310_008_20181106_153836_131073_mri_lsq6/mch_rca_2310_008_20181106_153836_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_008_processed/mch_rca_2310_008_20181106_153836_131073_mri_lsq6/mch_rca_2310_008_20181106_153836_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",1.10340177461016
"22",22,"10_009",1,53,7.57142857142857,"Control","Control","Control","WT","Ctrl_LFD_WT",111,"F","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_009_processed/mch_rca_2110_009_20180629_120643_131073_mri_lsq6/mch_rca_2110_009_20180629_120643_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_009_processed/mch_rca_2110_009_20180629_120643_131073_mri_lsq6/mch_rca_2110_009_20180629_120643_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",0.885894164091868
"23",23,"10_009",2,113,16.1428571428571,"Control","Control","Control","WT","Ctrl_LFD_WT",111,"F","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_009_processed/mch_rca_2210_009_20180828_191208_131073_mri_lsq6/mch_rca_2210_009_20180828_191208_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_009_processed/mch_rca_2210_009_20180828_191208_131073_mri_lsq6/mch_rca_2210_009_20180828_191208_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",1.11456738483654
"24",24,"10_009",3,183,26.1428571428571,"Control","Control","Control","WT","Ctrl_LFD_WT",111,"F","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_009_processed/mch_rca_2310_009_20181106_160505_131073_mri_lsq6/mch_rca_2310_009_20181106_160505_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_009_processed/mch_rca_2310_009_20181106_160505_131073_mri_lsq6/mch_rca_2310_009_20181106_160505_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",0.978981174714999
"25",25,"10_010",1,62,8.85714285714286,"Control","Control","Control","WT","Ctrl_LFD_WT",135,"F","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_010_processed/mch_rca_2110_010_20180926_193030_131073_mri_lsq6/mch_rca_2110_010_20180926_193030_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_010_processed/mch_rca_2110_010_20180926_193030_131073_mri_lsq6/mch_rca_2110_010_20180926_193030_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",1.05700457224429
"26",26,"10_010",2,111,15.8571428571429,"Control","Control","Control","WT","Ctrl_LFD_WT",135,"F","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_010_processed/mch_rca_2210_010_20181114_141133_131073_mri_lsq6/mch_rca_2210_010_20181114_141133_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_010_processed/mch_rca_2210_010_20181114_141133_131073_mri_lsq6/mch_rca_2210_010_20181114_141133_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",0.89403656472752
"27",27,"10_010",3,184,26.2857142857143,"Control","Control","Control","WT","Ctrl_LFD_WT",135,"F","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_010_processed/mch_rca_2310_010_20190125_220654_131073_mri_lsq6/mch_rca_2310_010_20190125_220654_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_010_processed/mch_rca_2310_010_20190125_220654_131073_mri_lsq6/mch_rca_2310_010_20190125_220654_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",1.02064798882943
"28",28,"10_011",1,62,8.85714285714286,"Control","Control","Control","WT","Ctrl_LFD_WT",135,"F","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_011_processed/mch_rca_2110_011_20180926_195541_131073_mri_lsq6/mch_rca_2110_011_20180926_195541_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_011_processed/mch_rca_2110_011_20180926_195541_131073_mri_lsq6/mch_rca_2110_011_20180926_195541_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",0.929533607906107
"29",29,"10_011",2,111,15.8571428571429,"Control","Control","Control","WT","Ctrl_LFD_WT",135,"F","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_011_processed/mch_rca_2210_011_20181114_142121_131073_mri_lsq6/mch_rca_2210_011_20181114_142121_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_011_processed/mch_rca_2210_011_20181114_142121_131073_mri_lsq6/mch_rca_2210_011_20181114_142121_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",0.956791165065863
"30",30,"10_011",3,184,26.2857142857143,"Control","Control","Control","WT","Ctrl_LFD_WT",135,"F","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_011_processed/mch_rca_2310_011_20190125_222539_131073_mri_lsq6/mch_rca_2310_011_20190125_222539_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_011_processed/mch_rca_2310_011_20190125_222539_131073_mri_lsq6/mch_rca_2310_011_20190125_222539_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",0.991647574796567
